zip,month,zip_hours,over_hours
11001,11,708.0,312.8146596858639
11101,11,96.375,312.8146596858639
11102,11,28.166666666666668,312.8146596858639
11103,11,467.8,312.8146596858639
11104,11,291.3333333333333,312.8146596858639
11105,11,17.5,312.8146596858639
11106,11,14.333333333333334,312.8146596858639
11201,11,269.6,312.8146596858639
11203,11,186.33333333333334,312.8146596858639
11204,11,711.3333333333334,312.8146596858639
11205,11,165.2,312.8146596858639
11206,11,289.25,312.8146596858639
11207,11,846.3076923076923,312.8146596858639
11208,11,214.5,312.8146596858639
11209,11,113.5,312.8146596858639
11210,11,59.166666666666664,312.8146596858639
11211,11,111.44444444444444,312.8146596858639
11212,11,207.71428571428572,312.8146596858639
11213,11,107.25,312.8146596858639
11214,11,189.625,312.8146596858639
11215,11,546.8,312.8146596858639
11216,11,769.9285714285714,312.8146596858639
11217,11,1029.0,312.8146596858639
11218,11,80.33333333333333,312.8146596858639
11219,11,77.0,312.8146596858639
11220,11,324.6666666666667,312.8146596858639
11221,11,98.6,312.8146596858639
11222,11,1106.3333333333333,312.8146596858639
11223,11,185.33333333333334,312.8146596858639
11224,11,253.25,312.8146596858639
11225,11,147.5,312.8146596858639
11226,11,222.85714285714286,312.8146596858639
11228,11,173.25,312.8146596858639
11229,11,83.63636363636364,312.8146596858639
11230,11,1011.6153846153846,312.8146596858639
11231,11,52.57142857142857,312.8146596858639
11232,11,63.0,312.8146596858639
11233,11,372.7142857142857,312.8146596858639
11234,11,1196.1666666666667,312.8146596858639
11235,11,246.30769230769232,312.8146596858639
11236,11,383.7692307692308,312.8146596858639
11237,11,146.66666666666666,312.8146596858639
11238,11,133.42857142857142,312.8146596858639
11239,11,0.0,312.8146596858639
11249,11,555.0,312.8146596858639
11354,11,126.5,312.8146596858639
11355,11,20.5,312.8146596858639
11356,11,28.636363636363637,312.8146596858639
11357,11,282.57142857142856,312.8146596858639
11358,11,118.5,312.8146596858639
11360,11,170.66666666666666,312.8146596858639
11361,11,136.69230769230768,312.8146596858639
11363,11,15.5,312.8146596858639
11364,11,136.0,312.8146596858639
11365,11,158.5,312.8146596858639
11366,11,323.8,312.8146596858639
11367,11,57.666666666666664,312.8146596858639
11368,11,104.14285714285714,312.8146596858639
11369,11,1.0,312.8146596858639
11370,11,534.0,312.8146596858639
11372,10,780.0,780.0
11372,11,270.1666666666667,312.8146596858639
11373,11,24.666666666666668,312.8146596858639
11374,11,131.85714285714286,312.8146596858639
11375,11,55.714285714285715,312.8146596858639
11377,11,7.6,312.8146596858639
11378,11,141.0,312.8146596858639
11379,11,224.6,312.8146596858639
11385,11,960.1333333333333,312.8146596858639
11412,11,50.0,312.8146596858639
11413,11,107.5,312.8146596858639
11414,11,6.0,312.8146596858639
11415,11,240.0,312.8146596858639
11416,11,40.25,312.8146596858639
11417,11,641.0,312.8146596858639
11418,11,309.2,312.8146596858639
11419,11,47.666666666666664,312.8146596858639
11420,11,79.22222222222223,312.8146596858639
11421,11,288.6,312.8146596858639
11422,11,6.0,312.8146596858639
11423,11,156.0,312.8146596858639
11426,11,445.3333333333333,312.8146596858639
11427,11,187.5,312.8146596858639
11428,11,38.5,312.8146596858639
11429,11,1.0,312.8146596858639
11432,11,686.5,312.8146596858639
11433,11,45.625,312.8146596858639
11434,11,340.6,312.8146596858639
11435,11,77.57142857142857,312.8146596858639
11436,11,29.5,312.8146596858639
11691,11,75.3,312.8146596858639
11692,11,34.0,312.8146596858639
11693,11,1.0,312.8146596858639
11694,11,123.5,312.8146596858639
11695,11,51.0,312.8146596858639
