40990251,11/20/2018 09:09:19 AM,11/25/2018 02:04:50 AM,10027
40990252,11/20/2018 09:03:51 AM,11/26/2018 10:38:28 AM,11420
40990253,11/20/2018 02:20:06 PM,12/07/2018 10:58:27 AM,10460
40990254,11/20/2018 02:26:30 PM,12/03/2018 10:05:09 AM,10466
40990255,11/20/2018 09:13:58 AM,11/20/2018 12:55:48 PM,10466
40990256,11/20/2018 07:37:04 PM,11/25/2018 05:05:09 PM,11375
40990257,11/20/2018 08:34:12 AM,11/21/2018 04:47:22 PM,10451
40990258,11/20/2018 10:37:35 PM,11/22/2018 05:23:27 PM,11225
40990259,11/20/2018 07:14:47 PM,11/21/2018 08:38:02 AM,11226
40990260,11/20/2018 08:23:31 AM,11/22/2018 02:10:44 AM,10467
40990261,11/20/2018 11:35:32 AM,11/22/2018 12:31:18 PM,11220
40990263,11/20/2018 04:01:18 PM,11/21/2018 02:05:47 AM,10459
40990264,11/20/2018 07:53:50 PM,11/21/2018 08:53:05 PM,10462
40990265,11/20/2018 09:03:51 AM,11/23/2018 11:48:05 AM,11420
40990266,11/20/2018 09:43:28 AM,11/22/2018 11:21:35 AM,11218
40990267,11/20/2018 11:50:56 PM,11/21/2018 10:31:47 AM,11206
40990268,11/20/2018 05:03:19 PM,12/03/2018 07:54:19 AM,11212
40990271,11/20/2018 02:52:50 PM,11/29/2018 12:00:00 AM,11221
40990274,11/20/2018 10:45:42 AM,11/21/2018 03:00:58 PM,11105
40990275,11/20/2018 07:41:26 PM,,10065
40990276,11/20/2018 01:03:52 PM,11/23/2018 11:01:10 AM,10021
40990277,11/20/2018 10:33:37 AM,01/31/2019 01:47:52 PM,11233
40990278,11/20/2018 02:14:56 PM,11/29/2018 02:10:11 AM,11423
40990279,11/20/2018 11:18:38 PM,11/21/2018 10:37:45 AM,10031
40990281,11/18/2018 07:21:17 PM,11/20/2018 11:25:00 AM,
40990283,11/20/2018 05:58:25 AM,11/21/2018 02:05:56 AM,10458
40990284,11/20/2018 08:46:32 PM,11/21/2018 09:39:15 PM,10021
40990285,11/20/2018 07:13:43 AM,11/21/2018 02:07:51 AM,10458
40990286,11/20/2018 07:13:13 AM,11/26/2018 09:06:31 AM,10460
40990287,11/20/2018 07:29:24 PM,11/21/2018 07:01:33 PM,10032
40990288,11/20/2018 11:40:45 PM,11/21/2018 09:50:43 PM,10011
40990290,11/20/2018 08:55:58 PM,11/23/2018 07:29:22 PM,10468
40990292,11/19/2018 02:21:00 PM,11/20/2018 12:00:00 PM,11375
40990294,11/20/2018 01:50:00 AM,11/20/2018 02:15:00 AM,10314
40990296,11/20/2018 02:02:00 PM,11/22/2018 03:10:00 AM,
40990297,11/20/2018 02:36:22 PM,11/21/2018 11:21:03 AM,10472
40990298,11/20/2018 02:47:23 PM,01/07/2019 10:05:42 AM,10467
40990299,11/20/2018 03:18:24 PM,03/11/2019 08:40:17 AM,10463
40990300,11/20/2018 04:50:30 PM,12/09/2018 11:11:56 AM,10467
40990301,11/20/2018 11:25:17 PM,04/15/2019 06:04:25 PM,10458
40990302,11/20/2018 11:14:38 PM,11/21/2018 09:26:28 PM,11223
40990307,11/20/2018 06:09:25 AM,12/05/2018 12:14:03 PM,11374
40990308,11/20/2018 12:13:59 PM,,10014
40990311,11/20/2018 03:11:03 PM,12/03/2018 08:25:13 AM,10460
40990312,11/20/2018 08:51:35 PM,11/29/2018 02:40:01 PM,11226
40990313,11/20/2018 04:42:11 PM,12/04/2018 02:46:16 PM,11203
40990314,11/20/2018 06:06:29 PM,11/27/2018 04:33:30 PM,10465
40990315,11/20/2018 10:57:40 AM,12/03/2018 04:48:08 PM,10459
40990316,11/20/2018 11:47:48 AM,12/01/2018 11:12:10 AM,10460
40990317,11/20/2018 04:10:05 PM,12/07/2018 03:40:27 PM,11432
40990318,11/20/2018 11:46:46 PM,11/29/2018 04:22:34 PM,11365
40990319,11/20/2018 09:08:08 AM,11/22/2018 02:09:02 AM,10472
40990320,11/20/2018 07:16:07 PM,11/23/2018 07:40:11 PM,10454
40990321,11/20/2018 06:04:30 AM,11/21/2018 02:08:14 AM,11216
40990322,11/20/2018 08:29:23 PM,11/22/2018 02:12:35 AM,11207
40990323,11/20/2018 04:45:44 PM,11/24/2018 06:05:48 PM,10466
40990324,11/20/2018 10:42:58 AM,11/22/2018 02:14:19 AM,10452
40990325,11/20/2018 09:13:47 PM,11/25/2018 02:06:10 AM,11385
40990326,11/20/2018 07:32:00 PM,11/20/2018 07:57:00 PM,11361
40990327,11/20/2018 03:43:00 PM,11/20/2018 04:00:00 PM,11361
40990328,11/20/2018 08:09:17 AM,11/25/2018 05:03:56 PM,11435
40990329,11/20/2018 10:17:17 PM,11/24/2018 02:06:39 AM,11691
40990330,11/20/2018 10:28:24 PM,11/22/2018 04:27:33 PM,10458
40990331,11/20/2018 09:13:49 AM,11/21/2018 02:09:23 AM,11210
40990332,11/20/2018 09:11:20 AM,11/23/2018 11:48:05 AM,11420
40990333,11/20/2018 11:14:38 PM,11/21/2018 09:26:27 PM,11223
40990334,11/20/2018 06:29:38 AM,11/20/2018 10:02:12 AM,10031
40990335,11/20/2018 09:54:00 PM,11/21/2018 09:20:00 PM,10001
40990336,11/20/2018 02:12:00 PM,12/01/2018 06:59:00 AM,11361
40990337,11/20/2018 01:40:59 AM,11/20/2018 10:55:31 AM,10468
40990338,11/20/2018 11:59:20 AM,11/20/2018 08:31:48 PM,10027
40990339,11/20/2018 06:36:28 AM,11/25/2018 08:48:40 AM,11204
40990340,11/20/2018 09:28:14 PM,11/24/2018 06:10:46 PM,11372
40990341,11/20/2018 06:21:44 AM,11/22/2018 02:10:10 AM,11432
40990342,11/20/2018 07:14:18 PM,11/21/2018 07:01:33 PM,10032
40990343,11/20/2018 10:11:21 PM,11/22/2018 02:13:29 AM,11236
40990344,11/20/2018 10:07:04 PM,11/24/2018 02:06:13 AM,10463
40990345,11/20/2018 07:32:12 PM,11/21/2018 06:55:15 PM,10031
40990346,11/20/2018 05:36:15 AM,11/22/2018 02:06:28 AM,10030
40990347,11/20/2018 04:03:09 PM,11/21/2018 02:05:56 AM,10458
40990348,11/20/2018 10:27:21 PM,11/22/2018 02:13:29 AM,11236
40990349,11/20/2018 12:36:39 PM,11/22/2018 02:12:09 AM,11421
40990351,11/20/2018 12:51:00 PM,11/24/2018 12:00:00 PM,11231
